"Project name","Toyflix"
"Date range","07/23/2025 12:00 AM - 07/29/2025 11:59 PM"


"","High Intention","715","24.07%"

"Metric","Top entry pages","No. of sessions"
"","https://toyflix.in/","1850"
"","https://toyflix.in/toys","529"
"","https://www.toyflix.in/","108"
"","https://toyflix.in/pricing","107"
"","https://toyflix.in/auth","49"
"","https://toyflix.in/admin","42"
"","https://toyflix.in/toys/","30"
"","https://toyflix.in/dashboard","29"
"","https://toyflix.in/subscription-flow","23"
"","https://toyflix.in/about","15"
"","http://localhost:8080/admin","14"
"","https://toyflix.in/toyflix/toys","14"

"Metric","Top exit pages","No. of sessions"
"","https://toyflix.in/","1197"
"","https://toyflix.in/toys","712"
"","https://toyflix.in/pricing","346"
"","https://toyflix.in/auth","143"
"","https://toyflix.in/admin","73"
"","https://toyflix.in/dashboard","67"
"","https://www.toyflix.in/","65"
"","https://toyflix.in/subscription-flow","63"
"","https://toyflix.in/about","30"
"","https://www.toyflix.in/toys","25"
"","https://toyflix.in/toys/","24"
"","https://www.toyflix.in/pricing","23"

"Metric","Bot traffic"
"webScraperBotSessions","20"
"suspiciousDeviceBotSessions","51"
"suspiciousNetworkBotSessions","84"
"suspiciousInteractionBotSessions","127"
"ppcAdFraudBotSessions","1"
"otherBotsSessions","0"
"__typename","BotTypes"
