SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/8/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/9/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/10/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/11/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/12/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/13/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/14/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/15/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/16/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/17/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
